game_key,person_key,slot,hit,lineup_position,age,yoe,weight,height,bmi,bats,throws,b_prev_ba_scaled,b_career_ba_scaled,p_age,p_weight,p_height,p_bmi,p_throws
SEA201906060,whitt002,6,1,mid,28,3,238,71,0.2983193277,R,R,27.619047619,24.81,28,220,75,0.3409090909,R
ANA201906090,tovaw001,8,1,bottom,27,6,180,67,0.3722222222,R,R,0,16.67,28,220,75,0.3409090909,R
ANA201906090,lastt001,1,1,top,30,5,180,71,0.3944444444,L,R,26.627218935,26.45,28,220,75,0.3409090909,R
ANA201906090,goodb001,6,1,mid,28,3,200,72,0.36,L,R,23.899371069,25.00,28,220,75,0.3409090909,R
ANA201906090,lucrj001,7,0,bottom,32,9,200,72,0.36,R,R,24.096385542,27.69,28,220,75,0.3409090909,R
ANA201906090,rengl001,9,1,bottom,22,0,195,70,0.358974359,B,R,0,,28,220,75,0.3409090909,R
SEA201906060,chirr001,5,1,mid,35,8,220,73,0.3318181818,R,R,22.222222222,23.28,28,220,75,0.3409090909,R
SEA201906060,gurry001,4,1,mid,34,3,215,72,0.3348837209,R,R,29.05027933,29.10,28,220,75,0.3409090909,R
SEA201906060,marij002,7,0,bottom,28,6,220,76,0.3454545455,R,R,21.126760563,22.59,28,220,75,0.3409090909,R
SEA201906060,brega001,2,1,top,25,3,192,72,0.375,R,R,28.61952862,28.20,28,220,75,0.3409090909,R
SEA201906060,kempt001,8,1,bottom,27,3,160,66,0.4125,L,R,26.274509804,24.51,28,220,75,0.3409090909,R
ANA201906090,pujoa001,4,0,mid,39,18,235,75,0.3191489362,R,R,24.516129032,30.23,28,220,75,0.3409090909,R
ANA201906090,ohtas001,3,0,top,24,1,210,76,0.3619047619,L,R,28.527607362,28.53,28,220,75,0.3409090909,R
SEA201906060,fishd001,1,1,top,25,2,215,75,0.3488372093,L,R,16.455696203,19.56,28,220,75,0.3409090909,R
SEA201906060,branm003,3,1,top,32,10,209,74,0.3540669856,L,L,30.877192982,29.47,28,220,75,0.3409090909,R
ANA201906090,troum001,2,0,top,27,8,235,74,0.314893617,R,R,31.210191083,30.67,28,220,75,0.3409090909,R
SEA201906060,mayfj001,9,1,bottom,28,0,190,71,0.3736842105,R,R,0,,28,220,75,0.3409090909,R
ANA201906090,puelc001,5,1,mid,28,2,220,74,0.3363636364,R,R,0,20.59,28,220,75,0.3409090909,R
PIT201907060,hiurk001,6,0,mid,22,0,202,72,0.3564356436,R,R,0,,24,225,74,0.3288888889,R
MIA201906150,riddj001,6,0,mid,27,2,190,73,0.3842105263,L,R,23.051948052,23.88,24,225,74,0.3288888889,R
NYN201907260,smitd008,6,0,mid,24,2,239,72,0.3012552301,L,L,22.377622378,20.97,24,225,74,0.3288888889,R
NYN201907260,mcnej002,1,1,top,27,1,195,73,0.3743589744,L,R,32.888888889,32.89,24,225,74,0.3288888889,R
PIT201907210,knapa001,8,0,bottom,27,2,189,73,0.3862433862,B,R,19.786096257,22.63,24,225,74,0.3288888889,R
CIN201907310,iglej001,7,0,bottom,29,8,195,71,0.3641025641,R,R,26.851851852,26.98,24,225,74,0.3288888889,R
PIT201909250,happi001,6,1,mid,25,2,205,72,0.3512195122,B,R,23.255813953,24.23,24,225,74,0.3288888889,R
PIT201909050,coopg002,3,1,top,28,2,235,77,0.3276595745,R,R,21.212121212,27.63,24,225,74,0.3288888889,R
SLN201907160,badeh001,8,1,bottom,25,2,210,72,0.3428571429,R,R,26.385224274,25.86,24,225,74,0.3288888889,R
MIA201906150,coopg002,2,1,top,28,2,235,77,0.3276595745,R,R,21.212121212,27.63,24,225,74,0.3288888889,R
PIT201908250,galvf001,2,0,top,29,7,195,70,0.358974359,B,R,24.750830565,24.56,24,225,74,0.3288888889,R
COL201908300,hills005,6,1,mid,25,0,236,77,0.3262711864,L,L,0,,24,225,74,0.3288888889,R
SFN201909110,pillk001,5,1,mid,30,6,200,72,0.36,R,R,25.1953125,26.11,24,225,74,0.3288888889,R
PIT201909050,walkn001,4,1,mid,33,10,214,74,0.3457943925,B,R,21.902017291,26.79,24,225,74,0.3288888889,R
COL201908300,desmi001,5,1,mid,33,10,217,75,0.3456221198,R,R,23.603603604,26.39,24,225,74,0.3288888889,R
MIA201906150,granc001,1,0,top,38,15,200,73,0.365,L,R,24.198250729,25.18,24,225,74,0.3288888889,R
PIT201908250,iglej001,5,1,mid,29,8,195,71,0.3641025641,R,R,26.851851852,26.98,24,225,74,0.3288888889,R
PIT201908050,grist001,1,1,top,22,0,224,71,0.3169642857,L,L,0,,24,225,74,0.3288888889,R
COL201908300,murpd006,4,0,mid,34,11,223,73,0.3273542601,L,R,29.87804878,29.93,24,225,74,0.3288888889,R
CIN201907310,vottj001,2,0,top,35,12,220,74,0.3363636364,L,R,28.429423459,31.08,24,225,74,0.3288888889,R
PIT201907060,grany001,1,1,top,30,7,230,74,0.3217391304,B,R,24.090909091,23.99,24,225,74,0.3288888889,R
PIT201909180,crawj002,2,0,top,24,2,199,74,0.3718592965,L,R,21.367521368,21.39,24,225,74,0.3288888889,R
HOU201906260,gurry001,6,1,mid,35,3,215,72,0.3348837209,R,R,29.05027933,29.10,24,225,74,0.3288888889,R
COL201908300,dazay001,8,1,bottom,25,0,207,74,0.3574879227,R,R,0,,24,225,74,0.3288888889,R
NYN201907260,alonp001,3,1,top,24,0,245,75,0.306122449,R,R,0,,24,225,74,0.3288888889,R
SLN201907160,fowld001,5,1,mid,33,11,205,77,0.3756097561,B,R,17.993079585,26.20,24,225,74,0.3288888889,R
PIT201907060,cainl001,4,1,mid,33,9,214,74,0.3457943925,R,R,30.797773655,29.29,24,225,74,0.3288888889,R
PIT201908050,mousm001,5,1,mid,30,8,225,72,0.32,L,R,25.130890052,25.15,24,225,74,0.3288888889,R
CIN201907310,vanmj001,5,1,mid,24,0,190,71,0.3736842105,L,R,0,,24,225,74,0.3288888889,R
PIT201908250,ervip001,8,0,bottom,27,2,207,70,0.3381642512,R,R,25.229357798,25.36,24,225,74,0.3288888889,R
PIT201909180,lewik001,5,1,mid,24,0,205,76,0.3707317073,R,R,0,,24,225,74,0.3288888889,R
PIT201909180,nolaa002,3,0,top,29,0,197,72,0.3654822335,R,R,0,,24,225,74,0.3288888889,R
PIT201907060,gameb001,7,0,bottom,27,3,177,71,0.4011299435,L,L,27.237354086,26.90,24,225,74,0.3288888889,R
PIT201909250,hoern001,8,0,bottom,22,0,200,73,0.365,R,R,0,,24,225,74,0.3288888889,R
PIT201908250,dietd001,6,1,mid,30,6,205,74,0.3609756098,L,R,26.452905812,25.39,24,225,74,0.3288888889,R
PIT201907060,arcio002,9,1,bottom,24,3,187,72,0.385026738,R,R,23.563218391,25.21,24,225,74,0.3288888889,R
PIT201909050,bertj001,1,1,top,29,1,190,70,0.3684210526,R,R,26.666666667,26.67,24,225,74,0.3288888889,R
PIT201909050,alfaj002,5,1,mid,26,3,230,75,0.3260869565,R,R,26.162790698,26.98,24,225,74,0.3288888889,R
PIT201909180,longs001,1,1,top,24,0,184,68,0.3695652174,L,R,0,,24,225,74,0.3288888889,R
PIT201909050,casts001,2,1,top,29,9,220,74,0.3363636364,R,R,27.824620573,28.13,24,225,74,0.3288888889,R
CIN201907310,genns001,4,1,mid,29,6,185,70,0.3783783784,L,R,30.993150685,28.90,24,225,74,0.3288888889,R
PIT201907210,millb002,5,0,mid,29,6,195,74,0.3794871795,L,R,24.782608696,23.93,24,225,74,0.3288888889,R
PIT201909250,schwk001,4,1,mid,26,4,225,72,0.32,L,R,23.831775701,22.84,24,225,74,0.3288888889,R
SLN201907160,goldp001,3,0,top,31,8,220,75,0.3409090909,R,R,29.005059022,29.74,24,225,74,0.3288888889,R
PIT201909050,diazi001,6,1,mid,23,0,201,71,0.3532338308,L,R,0,,24,225,74,0.3288888889,R
PIT201908050,grany001,2,0,top,30,7,230,74,0.3217391304,B,R,24.090909091,23.99,24,225,74,0.3288888889,R
PIT201907210,seguj002,2,0,top,29,7,220,70,0.3181818182,R,R,30.375426621,28.66,24,225,74,0.3288888889,R
PIT201907210,hernc005,6,1,mid,29,6,195,70,0.358974359,B,R,25.289256198,27.62,24,225,74,0.3288888889,R
SFN201909110,beltb001,3,0,top,31,8,231,75,0.3246753247,L,L,25.313283208,26.59,24,225,74,0.3288888889,R
MIA201906150,alfaj002,7,1,bottom,26,3,230,75,0.3260869565,R,R,26.162790698,26.98,24,225,74,0.3288888889,R
NYN201907260,frazt001,7,1,bottom,33,8,220,75,0.3409090909,R,R,21.323529412,24.17,24,225,74,0.3288888889,R
PIT201909050,ramih004,7,1,bottom,24,0,232,70,0.3017241379,R,R,0,,24,225,74,0.3288888889,R
NYN201907260,rosaa003,8,1,bottom,23,2,190,74,0.3894736842,R,R,25.631768953,25.45,24,225,74,0.3288888889,R
HOU201906260,branm003,4,1,mid,32,10,209,74,0.3540669856,L,L,30.877192982,29.47,24,225,74,0.3288888889,R
CIN201907310,winkj002,1,1,top,25,2,215,75,0.3488372093,L,L,29.893238434,29.85,24,225,74,0.3288888889,R
SLN201907160,edmat001,1,0,top,24,0,180,70,0.3888888889,B,R,0,,24,225,74,0.3288888889,R
SLN201907160,oneit001,4,1,mid,24,1,200,71,0.355,R,R,25.384615385,25.38,24,225,74,0.3288888889,R
SLN201907160,dejop001,2,0,top,25,2,205,72,0.3512195122,R,R,24.082568807,26.26,24,225,74,0.3288888889,R
PIT201908250,suare001,3,1,top,28,5,213,71,0.3333333333,R,R,28.273244782,26.36,24,225,74,0.3288888889,R
CIN201907310,barnt001,8,0,bottom,28,5,192,71,0.3697916667,B,R,24.782608696,25.42,24,225,74,0.3288888889,R
MIA201906150,casts001,4,1,mid,29,9,220,74,0.3363636364,R,R,27.824620573,28.13,24,225,74,0.3288888889,R
PIT201908250,vanmj001,1,1,top,24,0,190,71,0.3736842105,L,R,0,,24,225,74,0.3288888889,R
SFN201909110,vogts001,4,0,mid,34,7,211,72,0.3412322275,L,R,0,25.14,24,225,74,0.3288888889,R
PIT201907210,kings001,1,0,top,25,1,180,70,0.3888888889,R,R,22.566371681,22.57,24,225,74,0.3288888889,R
PIT201908250,casac001,7,1,bottom,30,5,220,74,0.3363636364,R,R,29.285714286,22.26,24,225,74,0.3288888889,R
NYN201907260,confm001,2,0,top,26,4,215,73,0.3395348837,L,R,24.309392265,25.11,24,225,74,0.3288888889,R
PIT201908050,cainl001,6,1,mid,33,9,214,74,0.3457943925,R,R,30.797773655,29.29,24,225,74,0.3288888889,R
PIT201908050,hiurk001,4,0,mid,23,0,202,72,0.3564356436,R,R,0,,24,225,74,0.3288888889,R
HOU201906260,reddj001,7,1,bottom,32,10,197,74,0.3756345178,L,R,24.249422633,26.18,24,225,74,0.3288888889,R
HOU201906260,chirr001,9,1,bottom,35,8,220,73,0.3318181818,R,R,22.222222222,23.28,24,225,74,0.3288888889,R
CIN201907310,suare001,3,1,top,28,5,213,71,0.3333333333,R,R,28.273244782,26.36,24,225,74,0.3288888889,R
SFN201909110,dubom001,2,0,top,25,0,173,72,0.4161849711,R,R,0,,24,225,74,0.3288888889,R
COL201908300,mcmar001,2,1,top,24,2,219,74,0.3378995434,L,R,23.20441989,22.50,24,225,74,0.3288888889,R
SFN201909110,yastm001,1,1,top,29,0,178,70,0.393258427,L,L,0,,24,225,74,0.3288888889,R
HOU201906260,sprig001,1,1,top,29,5,221,75,0.3393665158,R,R,26.470588235,26.54,24,225,74,0.3288888889,R
PIT201907210,harpb003,3,1,top,26,7,210,75,0.3571428571,L,R,24.909090909,27.89,24,225,74,0.3288888889,R
PIT201907060,yelic001,2,1,top,27,6,195,75,0.3846153846,L,R,32.578397213,29.69,24,225,74,0.3288888889,R
NYN201907260,ramow001,5,1,mid,31,9,245,73,0.2979591837,R,R,30.628272251,27.33,24,225,74,0.3288888889,R
SFN201909110,josec001,8,0,bottom,30,6,185,72,0.3891891892,L,R,22.222222222,20.83,24,225,74,0.3288888889,R
PIT201909250,contw001,5,1,mid,27,3,225,73,0.3244444444,R,R,24.894514768,26.56,24,225,74,0.3288888889,R
SFN201909110,davij008,7,1,bottom,25,0,205,71,0.3463414634,R,R,0,,24,225,74,0.3288888889,R
PIT201908050,thame001,7,1,bottom,32,8,235,71,0.3021276596,L,R,21.862348178,24.31,24,225,74,0.3288888889,R
PIT201909250,castn001,2,0,top,27,6,203,76,0.3743842365,R,R,29.838709677,27.40,24,225,74,0.3288888889,R
HOU201906260,alvay001,5,0,mid,21,0,225,77,0.3422222222,L,R,0,,24,225,74,0.3288888889,R
HOU201906260,whitt002,8,0,bottom,28,3,238,71,0.2983193277,R,R,27.619047619,24.81,24,225,74,0.3288888889,R
PIT201909050,sierm002,8,1,bottom,23,2,178,71,0.3988764045,L,L,19.047619048,22.71,24,225,74,0.3288888889,R
MIA201906150,rojam002,8,1,bottom,30,5,188,72,0.3829787234,R,R,25.204918033,25.46,24,225,74,0.3288888889,R
CIN201907310,senzn001,6,1,mid,24,0,205,73,0.356097561,R,R,0,,24,225,74,0.3288888889,R
SFN201909110,crawb001,6,0,mid,32,8,223,73,0.3273542601,L,R,25.423728814,25.23,24,225,74,0.3288888889,R
NYN201907260,canor001,4,0,mid,36,14,212,72,0.3396226415,L,R,30.322580645,30.45,24,225,74,0.3288888889,R
COL201908300,stort001,1,1,top,26,3,213,74,0.3474178404,R,R,29.096989967,26.82,24,225,74,0.3288888889,R
PIT201907210,hoskr001,4,1,mid,26,2,245,76,0.3102040816,R,R,24.551971326,24.86,24,225,74,0.3288888889,R
PIT201907060,mousm001,3,1,top,30,8,225,72,0.32,L,R,25.130890052,25.15,24,225,74,0.3288888889,R
SLN201907160,wongk001,6,0,mid,28,6,185,67,0.3621621622,L,R,24.92917847,25.47,24,225,74,0.3288888889,R
HOU201906260,altuj001,2,1,top,29,8,166,66,0.3975903614,R,R,31.647940075,31.64,24,225,74,0.3288888889,R
PIT201907210,hasea001,7,1,bottom,23,0,190,73,0.3842105263,L,L,0,,24,225,74,0.3288888889,R
PIT201909180,murpt002,6,1,mid,28,4,218,73,0.3348623853,R,R,22.580645161,21.94,24,225,74,0.3288888889,R
PIT201909250,rizza001,1,0,top,30,8,240,75,0.3125,L,L,28.268551237,27.01,24,225,74,0.3288888889,R
PIT201908050,yelic001,3,1,top,27,6,195,75,0.3846153846,L,R,32.578397213,29.69,24,225,74,0.3288888889,R
MIA201906150,andeb006,3,1,top,26,2,208,75,0.3605769231,R,R,27.288135593,27.15,24,225,74,0.3288888889,R
PIT201909250,heywj001,7,0,bottom,30,9,240,77,0.3208333333,L,L,27.045454545,26.25,24,225,74,0.3288888889,R
PIT201909180,seagk001,4,1,mid,31,8,216,72,0.3333333333,L,R,22.126929674,25.77,24,225,74,0.3288888889,R
MIA201906150,ramih004,5,1,mid,24,0,232,70,0.3017241379,R,R,0,,24,225,74,0.3288888889,R
PIT201908050,arcio002,8,1,bottom,25,3,187,72,0.385026738,R,R,23.563218391,25.21,24,225,74,0.3288888889,R
COL201908300,woltt001,7,0,bottom,27,3,207,70,0.3381642512,L,R,17.032967033,22.56,24,225,74,0.3288888889,R
SLN201907160,wietm001,7,0,bottom,33,10,235,77,0.3276595745,B,R,23.829787234,25.14,24,225,74,0.3288888889,R
PIT201908250,aquia001,4,1,mid,25,1,220,76,0.3454545455,R,R,0,0.000,24,225,74,0.3288888889,R
PIT201909250,zobrb001,3,0,top,38,13,210,75,0.3571428571,B,R,30.549450549,26.65,24,225,74,0.3288888889,R
PIT201907060,thame001,5,0,mid,32,8,235,71,0.3021276596,L,R,21.862348178,24.31,24,225,74,0.3288888889,R
HOU201906260,brega001,3,1,top,25,3,192,72,0.375,R,R,28.61952862,28.20,24,225,74,0.3288888889,R
PIT201909180,moord002,8,1,bottom,27,0,185,72,0.3891891892,R,R,0,,24,225,74,0.3288888889,R
PIT201909180,gordd002,7,1,bottom,31,8,166,71,0.4277108434,L,R,26.798561151,28.91,24,225,74,0.3288888889,R
COL201908300,arenn001,3,1,top,28,6,215,74,0.3441860465,R,R,29.661016949,29.12,24,225,74,0.3288888889,R
MIA201905300,yastm001,8,1,bottom,28,0,178,70,0.393258427,L,L,0,,23,200,77,0.385,R
MIA201904300,ramij003,3,0,top,26,6,190,69,0.3631578947,B,R,26.989619377,28.49,23,200,77,0.385,R
NYN201905110,alonp001,4,1,mid,24,0,245,75,0.306122449,R,R,0,,23,200,77,0.385,R
PHI201906210,realj001,4,0,mid,28,5,212,73,0.3443396226,R,R,27.672955975,27.92,23,200,77,0.385,R
NYN201909240,mcnej002,2,1,top,27,1,195,73,0.3743589744,L,R,32.888888889,32.89,24,200,77,0.385,R
LAN201907200,pedej001,1,1,top,27,5,220,73,0.3318181818,L,L,24.810126582,22.82,23,200,77,0.385,R
MIA201907310,rosae001,4,1,mid,27,4,180,73,0.4055555556,L,R,28.801431127,28.00,23,200,77,0.385,R
NYN201909240,confm001,6,1,mid,26,4,215,73,0.3395348837,L,R,24.309392265,25.11,24,200,77,0.385,R
MIA201904120,seguj002,2,1,top,29,7,220,70,0.3181818182,R,R,30.375426621,28.66,23,200,77,0.385,R
MIA201908100,freef001,3,1,top,29,9,220,77,0.35,L,R,30.906148867,29.27,23,200,77,0.385,R
MIA201905300,longe001,5,0,mid,33,11,213,73,0.3427230047,R,R,24.375,26.78,23,200,77,0.385,R
PIT201909030,osunj001,6,0,mid,26,2,235,74,0.314893617,R,R,22.641509434,23.05,23,200,77,0.385,R
CHN201905060,rizza001,3,1,top,29,8,240,75,0.3125,L,L,28.268551237,27.01,23,200,77,0.385,R
NYN201905110,canor001,3,1,top,36,14,212,72,0.3396226415,L,R,30.322580645,30.45,23,200,77,0.385,R
MIA201904120,hoskr001,4,1,mid,26,2,245,76,0.3102040816,R,R,24.551971326,24.86,23,200,77,0.385,R
MIA201909080,lopen001,8,0,bottom,24,0,175,71,0.4057142857,L,R,0,,24,200,77,0.385,R
MIA201904120,mccua001,1,1,top,32,10,195,71,0.3641025641,R,R,25.483304042,28.70,23,200,77,0.385,R
COL201908160,dazay001,8,0,bottom,25,0,207,74,0.3574879227,R,R,0,,23,200,77,0.385,R
MIA201903310,reynm001,6,1,mid,35,12,220,74,0.3363636364,R,R,24.757281553,23.79,23,200,77,0.385,R
ATL201908220,flowt001,8,1,bottom,33,10,260,76,0.2923076923,R,R,22.709163347,23.87,23,200,77,0.385,R
MIA201907140,smitd008,4,0,mid,24,2,239,72,0.3012552301,L,L,22.377622378,20.97,23,200,77,0.385,R
MIA201908280,galvf001,5,0,mid,29,7,195,70,0.358974359,B,R,24.750830565,24.56,23,200,77,0.385,R
MIA201905190,nidot001,8,0,bottom,25,2,211,72,0.3412322275,R,R,16.666666667,18.09,23,200,77,0.385,R
PHI201909290,millb002,2,1,top,29,6,195,74,0.3794871795,L,R,24.782608696,23.93,24,200,77,0.385,R
MIA201904120,herro001,6,1,mid,27,4,200,71,0.355,L,R,25.454545455,27.95,23,200,77,0.385,R
MIA201909080,mcbrr001,6,0,mid,27,0,225,75,0.3333333333,R,L,0,,24,200,77,0.385,R
MIA201907310,gonzm002,6,1,mid,30,7,205,73,0.356097561,B,R,24.744376278,26.36,23,200,77,0.385,R
ATL201904060,camaj001,6,0,mid,25,2,195,72,0.3692307692,B,R,27.155172414,28.09,23,200,77,0.385,R
MIL201906050,mousm001,4,1,mid,30,8,225,72,0.32,L,R,25.130890052,25.15,23,200,77,0.385,R
MIA201907140,canor001,5,1,mid,36,14,212,72,0.3396226415,L,R,30.322580645,30.45,23,200,77,0.385,R
ATL201908220,joycm001,5,1,mid,35,11,194,74,0.381443299,L,R,20.77294686,24.04,23,200,77,0.385,R
MIA201905300,panij002,1,0,top,28,5,205,73,0.356097561,L,R,25.418994413,27.72,23,200,77,0.385,R
PHI201906210,hoskr001,2,1,top,26,2,245,76,0.3102040816,R,R,24.551971326,24.86,23,200,77,0.385,R
WAS201907030,sotoj001,4,1,mid,20,1,220,73,0.3318181818,L,L,29.22705314,29.23,23,200,77,0.385,R
MIA201906100,martj008,2,0,top,30,3,215,78,0.3627906977,R,R,30.524344569,30.90,23,200,77,0.385,R
MIA201904120,franm004,8,1,bottom,26,5,225,73,0.3244444444,R,R,27.020785219,25.24,23,200,77,0.385,R
COL201908160,tapir001,5,0,mid,25,3,175,75,0.4285714286,L,L,20,27.35,23,200,77,0.385,R
MIA201907140,frazt001,7,1,bottom,33,8,220,75,0.3409090909,R,R,21.323529412,24.17,23,200,77,0.385,R
